Title	URL	Assignees	Status	Estimated size	Real size	Labels
Calibration Guide	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/184	anuunchin	Feature Archive	2	1	backend, documentation
Prometheus for Backend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/179	anuunchin	Feature Archive	3	3	backend, build, technical
Support Multiple Languages	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/177	Christoph-Mantsch	Feature Archive	2	2	enhancement, frontend
Dark / Light Mode	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/175	Paul2607	Feature Archive	2	2	enhancement, frontend
Add Support for Depth Anything V2	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/145	saribx	Feature Archive	3	2	backend, enhancement, sprint-8
Video Stream From File	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/169	Tenebrae311	Feature Archive	3	3	backend, enhancement
Low Confidence Filter	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/185	Christoph-Mantsch	Feature Archive	3	2	enhancement, frontend
Run on real Hardware	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/174	Paul2607	Feature Archive	2	2	build
Smoother Overlays	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/146	anuunchin	Feature Archive	5	5	backend, enhancement, sprint-8
Standalone Model Downloading	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/113	saribx	Feature Archive	2	2	backend, enhancement, sprint-7, sprint-8
Backend Logging	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/171	zohrehasadi00	Feature Archive	3	2	backend, technical
Frontend Logging	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/172	zohrehasadi00	Feature Archive	3	1	frontend, technical
Document Analyzer API Endpoints	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/124	anuunchin	Feature Archive	2	1	backend, documentation, sprint-7, sprint-8
Add Support for Yolo11	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/144	zohrehasadi00	Feature Archive	2	1	backend, enhancement, sprint-8
Run MiDaS via ONNX	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/142	zohrehasadi00	Feature Archive	2	2	backend, enhancement, sprint-8
Disconnecting Unreliable	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/138	Paul2607	Feature Archive	3	3	bug, frontend, sprint-8
